Framework,Case,surf_type,Metric,Average,StdDev,P-value
cortexode,baseline,gm,Chamfer Distance,5.173967463005491,0.17472304248895776,
cortexode,baseline,gm,Hausdorff Distance,7.005055045981663,0.7446602771204379,
cortexode,baseline,gm,Self-Intersections (SIF),822.6915887850467,425.9998331236262,
cortexode,baseline,wm,Chamfer Distance,0.7660166974677641,0.013772085176583985,
cortexode,baseline,wm,Hausdorff Distance,4.984935972084058,1.3691335862178187,
cortexode,baseline,wm,Self-Intersections (SIF),1.5,3.5000836390140275,
csrp,separate,gm,Chamfer Distance,5.155883799359283,0.17460581091028068,
csrp,separate,gm,Hausdorff Distance,7.226431890948151,0.7643146882559375,
csrp,separate,gm,Self-Intersections (SIF),7492.322429906542,2729.953680841959,
csrp,separate,wm,Chamfer Distance,0.7509832991975897,0.014321337262597282,
csrp,separate,wm,Hausdorff Distance,4.98142647779632,1.3795879007337304,
csrp,separate,wm,Self-Intersections (SIF),81.29672897196262,104.20500101971535,
csrp,unified,gm,Chamfer Distance,5.132737404550287,0.1620002975905692,
csrp,unified,gm,Hausdorff Distance,7.306364963312814,0.8112653602120166,
csrp,unified,gm,Self-Intersections (SIF),8192.492957746479,2808.0422489191637,
csrp,unified,wm,Chamfer Distance,0.871668646795449,0.022577418642627814,
csrp,unified,wm,Hausdorff Distance,5.200588460393962,1.4155969496387366,
csrp,unified,wm,Self-Intersections (SIF),18.352803738317757,42.66210925272136